ZIP,Population,Proportion of Population,Energy Surplus per ZIP Code,EVs Supported by Surplus
14086,31847.0,0.009407401915273417,19174084.765526056,3195680.7942543426
12143,5137.0,0.001517437235493439,3092827.37590691,515471.2293178183
14418,1325.0,0.00039139660055067285,797741.1471825298,132956.85786375497
12594,4275.0,0.0012628078998899069,2573844.078645521,428974.0131075868
10804,14146.0,0.004178638725577222,8516865.107957786,1419477.5179929642
10958,3291.0,0.0009721405376696335,1981408.3889643059,330234.731494051
14551,5651.0,0.0016692695771410207,3402290.7341346988,567048.4556891165
11694,20408.0,0.006028393829462741,12287019.872981938,2047836.6454969896
10994,7085.0,0.002092864086718126,4265657.37946281,710942.8965771351
14305,16898.0,0.004991562080079449,10173758.41893614,1695626.4031560235
11103,38780.0,0.011455366165551014,23348227.688859247,3891371.281476541
14719,3497.0,0.0010329916317929834,2105434.559771552,350905.7599619254
11230,86408.0,0.025524375441798145,52023560.03452682,8670593.339087803
12087,1073.0,0.00031695739803084676,646019.8120202675,107669.96867004457
11714,22658.0,0.006693029566246902,13641674.651216423,2273612.4418694037
14787,5121.0,0.0015127109369207515,3083194.2752616866,513865.71254361444
12564,7338.0,0.002167598682898745,4417980.783415399,736330.1305692331
12928,2028.0,0.0005990583440881242,1220995.5067820153,203499.25113033588
14757,3487.0,0.0010300376951850538,2099413.8718682877,349902.31197804795
11542,27633.0,0.008162613028691881,16636966.88309045,2772827.8138484084
12053,4587.0,0.0013549707220573105,2761689.541227369,460281.59020456154
14733,3833.0,0.0011322439018194182,2307729.6733212355,384621.6122202059
12428,6602.0,0.0019501889485551262,3974858.153735141,662476.3589558568
14543,3152.0,0.0009310808188194119,1897720.8271089313,316286.80451815523
12549,10201.0,0.0030133107337489916,6141703.73011999,1023617.2883533317
14467,9105.0,0.0026895592815199066,5481836.335922214,913639.389320369
11768,21902.0,0.006469711958687424,13186510.645729635,2197751.7742882725
10032,57331.0,0.016935213966921228,34517205.81820499,5752867.636367499
10505,851.0,0.0002513800053348095,512360.54056779837,85393.4234279664
10548,3487.0,0.0010300376951850538,2099413.8718682877,349902.31197804795
11552,23616.0,0.006976016693286559,14218456.55234915,2369742.7587248585
14011,9822.0,0.0029013565363084593,5913519.658586269,985586.6097643782
14069,844.0,0.00024931224970925876,508146.05903551326,84691.0098392522
14171,2077.0,0.0006135326334669793,1250496.8775080107,208416.14625133513
11361,28606.0,0.008450031060643433,17222779.816078074,2870463.302679679
14480,833.0,0.0002460629194405362,501523.3023419225,83587.21705698708
12748,2076.0,0.0006132372398061863,1249894.8087176844,208315.8014529474
13903,18763.0,0.0055424712574583205,11296616.712894948,1882769.452149158
12043,8509.0,0.0025135046596873024,5123003.336887658,853833.8894812763
13755,1228.0,0.00036274341545375566,739340.4745208652,123223.4124201442
10952,38917.0,0.01149583509707965,23430711.11313397,3905118.5188556616
14840,3061.0,0.0009041999956872525,1842932.5671892255,307155.42786487093
12943,459.0,0.00013558569030396893,276349.57475983485,46058.26245997247
14468,17813.0,0.005261847279705008,10724651.362084834,1787441.8936808056
11598,13328.0,0.003937006711048579,8024372.83747076,1337395.4729117933
13460,4429.0,0.0013082985236520226,2666562.672355792,444427.11205929867
10962,5950.0,0.001757592281718116,3582309.302442304,597051.5504070506
14555,974.0,0.0002877134256123437,586415.0017779502,97735.83362965837
12565,1487.0,0.0004392503735991325,895276.2912154127,149212.71520256877
11010,23821.0,0.007036572393749115,14341880.654366069,2390313.4423943446
14605,12610.0,0.0037249140625992337,7592087.446016378,1265347.9076693964
13309,5889.0,0.0017395732684097453,3545583.1062323907,590930.5177053985
13815,13999.0,0.004135215857440656,8428360.9957798,1404726.8326299665
11754,18958.0,0.005600073021312948,11414020.127008602,1902336.687834767
11239,13393.0,0.003956207299000122,8063507.308841979,1343917.8848069964
14610,14233.0,0.004204337974066209,8569245.092716185,1428207.5154526976
13142,6451.0,0.0019055845057753891,3883945.7663958487,647324.2943993082
12472,1572.0,0.00046435883476653416,946452.13839316,157742.02306552665
12754,7221.0,0.002133037624585969,4347538.7349472055,724589.7891578675
12567,2854.0,0.0008430535079031097,1718304.327591653,286384.0545986088
13694,1507.0,0.0004451582468149917,907317.6670219414,151219.61117032357
11726,19857.0,0.00586563192236582,11955279.969512071,1992546.6615853452
12972,6364.0,0.0018798852572864016,3831565.781637449,638594.2969395748
13417,3305.0,0.000976276048920735,1989837.3520288763,331639.5586714794
14427,1964.0,0.0005801531497973747,1182463.1042011234,197077.18403352055
13795,3800.0,0.0011224959110132506,2287861.4032404628,381310.23387341044
12078,23773.0,0.007022393498031054,14312981.352430401,2385496.8920717337
14036,5201.0,0.0015363424297841883,3131359.7784878016,521893.2964146336
14489,7192.0,0.002124471208422973,4330078.740027739,721679.7900046231
11213,63767.0,0.01883636756778472,38392120.552745946,6398686.758790991
11958,635.0,0.00018757497460353002,382313.6818572879,63718.94697621465
13108,6175.0,0.001824055855396532,3717774.780265752,619629.1300442921
14213,24465.0,0.007226805911299782,14729612.955336295,2454935.492556049
10577,6552.0,0.0019354192655154782,3944754.714218819,657459.1190364698
10541,26339.0,0.007780373631625791,15857889.86840804,2642981.644734673
12903,1217.0,0.0003594940851850331,732717.7178272745,122119.61963787908
13159,5184.0,0.001531320737550708,3121124.6090522525,520187.4348420421
12912,1998.0,0.0005901965342643354,1202933.4430722224,200488.90717870372
12157,4061.0,0.0011995936564802132,2445001.357515663,407500.2262526105
13492,11596.0,0.0034253848905551718,6981589.69262537,1163598.2821042284
12847,605.0,0.0001787131647797412,364251.61814749474,60708.60302458246
11784,24655.0,0.0072829307068504445,14844006.025498318,2474001.0042497194
14052,17329.0,0.005118876747881215,10433250.067566836,1738875.0112611393
13667,3181.0,0.0009396472349824078,1915180.8220283978,319196.80367139966
10470,15293.0,0.004517455254506747,9207438.01046221,1534573.0017437015
11580,40113.0,0.011849125915388031,24150785.386364393,4025130.8977273987
12165,175.0,5.1693890638768114e-05,105362.03830712658,17560.33971785443
10549,16638.0,0.00491475972827328,10017220.533451268,1669536.7555752115
14747,2289.0,0.0006761560895550869,1378135.4610572155,229689.2435095359
14548,4249.0,0.0012551276647092898,2558190.290097033,426365.0483495055
12029,1113.0,0.0003287731444625652,670102.563633325,111683.76060555417
13695,134.0,3.9582750546256725e-05,80677.21790374262,13446.202983957104
10968,2353.0,0.0006950612838458364,1416667.8636381077,236111.31060635127
12580,4402.0,0.0013003228948106128,2650306.8150169784,441717.80250282976
41076,16468.0,0.004864542805938476,9914868.839095773,1652478.1398492956
11545,12065.0,0.00356392451746707,7263959.955288469,1210659.992548078
11224,47621.0,0.014066941520621578,28671117.86413528,4778519.644022547
