,ID,Station Name,City,State,ZIP,County,latitude_station,longitude_station
2915,147496,45 RESEARCH WAY 45 RESEARCH #1,Setauket- East Setauket,NY,11733,Suffolk,40.9426,-73.1116
2916,226492,West Herr Subaru,Orchard Park,NY,14127,Erie,42.7639,-78.7518
2917,223090,The Delaware,Cohoes,NY,12047,Albany,42.7754,-73.7124
2918,226853,Shults Resale Olean,Olean,NY,14701,Chautauqua,42.0928,-79.244
2919,166226,Waterloo Premium Outlets,Waterloo,NY,13165,Seneca,42.9045,-76.8755
2920,216320,Apple Honda,Riverhead,NY,11901,Suffolk,40.9262,-72.652
2921,171727,TOWN OF RED HK RED HOOK 2,Red Hook,NY,12571,Dutchess,42.0064,-73.8546
2922,115194,GGMC Parking Stewart House Garage - Tesla Destination,New York,NY,10003,New York,40.7313,-73.9892
2923,165567,Mohawk Valley Welcome Center,Fultonville,NY,12072,Montgomery,42.9036,-74.3598
2924,174452,RRH ST MARYS 5,Rochester,NY,14611,Monroe,43.1484,-77.6394
2925,200441,Crystal Towers,White Plains,NY,10605,Westchester,41.0141,-73.7552
2926,154440,Stewart's Shops - Tesla Supercharger,Chestertown,NY,12817,Warren,43.6451,-73.8066
2927,115123,Propark 401 W 110th Street - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
2928,213901,JAMESTOWN BPU 1 W 2ND ST #1,Jamestown,NY,14701,Chautauqua,42.0928,-79.244
2929,188099,HARLEY SCHOOL HARLEY 1,Rochester,NY,14618,Monroe,43.1122,-77.5618
2930,115244,Faust Motel - Tesla Destination,Tupper Lake,NY,12986,Franklin,44.232,-74.4905
2931,173962,RRH RIEDMAN CAMP 8,Rochester,NY,14617,Monroe,43.2203,-77.5994
2932,165222,APDC ADMIN LOT PORT 1.2,Albany,NY,12202,Albany,42.6413,-73.7641
2933,115052,Champion Parking 74 LLC - Tesla Destination,New York,NY,10023,New York,40.7764,-73.9827
2934,222224,ELLIS CHEVY LVL2 #2,Malone,NY,12953,Franklin,44.8482,-74.2928
2935,150532,333 Schermerhorn Garage - The Hub - Tesla Destination,Brooklyn,NY,11217,Kings,40.6816,-73.9798
2936,153652,VILLAGEHALL RHINEBECK 3,Rhinebeck,NY,12572,Dutchess,41.9272,-73.8888
2937,170430,Riverhead Town Center - Tesla Supercharger,Riverhead,NY,11901,Suffolk,40.9262,-72.652
2938,185651,159 WOLF OFFBLD 159 WOLF LEFT,Albany,NY,12205,Albany,42.7198,-73.8207
2939,122786,SUNY NEW PALTZ WALLKILL 3,New Paltz,NY,12561,Ulster,41.7464,-74.1092
2940,229075,Matthews Hyundai of Schenectady,Schenectady,NY,12304,Schenectady,42.7841,-73.9094
2941,143572,BURNS MGT THE SPRINGS#1,Saratoga Springs,NY,12866,Saratoga,43.0708,-73.7408
2942,217291,EVolveNY Utica,Utica,NY,13501,Oneida,43.0871,-75.2315
2943,185709,1510 Lex Garage,Manhattan,NY,10029,New York,40.7918,-73.9447
2944,65302,Village of Rouses Point,Rouses Point,NY,12979,Clinton,44.9884,-73.3691
2945,220318,CMH STATION 4,Hudson,NY,12534,Columbia,42.247,-73.7552
2946,147009,Glenwood Management - Paramount Garage,New York,NY,10016,New York,40.7443,-73.9781
2947,180152,RIT EV CHARGING D LOT NORTH,Rochester,NY,14623,Monroe,43.0834,-77.6344
2948,44204,Serafini Nissan-Volvo,Vestal,NY,13850,Broome,42.0771,-76.0118
2949,174639,PICOTTE 80 WOLF ROAD 1,Colonie,NY,12205,Albany,42.7198,-73.8207
2950,223252,Niskayuna Branch Library,Niskayuna,NY,12309,Schenectady,42.8091,-73.8693
2951,226509,Harris Whalen Park,Penfield,NY,14526,Monroe,43.1396,-77.456
2952,153177,CLARKSTOWN TOC 3 & 4,New City,NY,10956,Rockland,41.1472,-73.9962
2953,44186,Riverhead Auto Mall,Riverhead,NY,11901,Suffolk,40.9262,-72.652
2954,183765,CHEEKTOWAGA BROADWAY #3,Cheektowaga,NY,14227,Erie,42.8853,-78.7462
2955,168489,"Walmart 2104 - Newburgh, NY",Newburgh,NY,12550,Orange,41.5372,-74.0526
2956,162457,STONY BROOK UNV LIFE SCIENCES,Stony Brook,NY,11790,Suffolk,40.9068,-73.1277
2957,230783,Brooklyn Renaissance Plaza,Brooklyn,NY,11201,Kings,40.694,-73.9903
2958,230893,Hamilton College-Siuda House (Admissions),Clinton,NY,13323,Oneida,43.0586,-75.3808
