,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),Proportion of Energy in Year
287,2016,NY,Total Electric Power Industry,Hydroelectric Conventional,268882340,0.20009593179889834
288,2016,NY,Total Electric Power Industry,Natural Gas,567933360,0.42264268776030134
289,2016,NY,Total Electric Power Industry,Nuclear,415709900,0.3093615586599211
290,2016,NY,Total Electric Power Industry,Other Gases,0,0.0
291,2016,NY,Total Electric Power Industry,Other,8585970,0.0063894775222031585
292,2016,NY,Total Electric Power Industry,Petroleum,6429520,0.004784698003668269
293,2016,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,1396110,0.001038952321464325
294,2016,NY,Total Electric Power Industry,Other Biomass,16046500,0.011941428989390015
295,2016,NY,Total Electric Power Industry,Wind,39401800,0.029321895538226245
296,2016,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,6388590,0.004754238857528256
297,2017,NY,Total Electric Power Industry,Total,1280253860,1.0
298,2017,NY,Total Electric Power Industry,Coal,7702960,0.006016744210402146
299,2017,NY,Total Electric Power Industry,Pumped Storage,-4156710,-0.0032467857585682263
300,2017,NY,Total Electric Power Industry,Hydroelectric Conventional,301449320,0.23546058279410303
301,2017,NY,Total Electric Power Industry,Natural Gas,472717560,0.36923736359599807
302,2017,NY,Total Electric Power Industry,Nuclear,421674090,0.3293675599618969
303,2017,NY,Total Electric Power Industry,Other Gases,0,0.0
304,2017,NY,Total Electric Power Industry,Other,8840100,0.006904958677492291
305,2017,NY,Total Electric Power Industry,Petroleum,5978930,0.004670112847775363
306,2017,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,1828040,0.001427873062612754
307,2017,NY,Total Electric Power Industry,Other Biomass,16660510,0.01301344250584802
308,2017,NY,Total Electric Power Industry,Wind,41359510,0.03230571005659768
309,2017,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,6199550,0.00484243804584194
310,2018,NY,Total Electric Power Industry,Total,1325205010,1.0
311,2018,NY,Total Electric Power Industry,Coal,6903860,0.005209654316051824
312,2018,NY,Total Electric Power Industry,Pumped Storage,-4307180,-0.003250199001285092
313,2018,NY,Total Electric Power Industry,Hydroelectric Conventional,296300000,0.223588046954335
314,2018,NY,Total Electric Power Industry,Natural Gas,508104260,0.3834155894113319
315,2018,NY,Total Electric Power Industry,Nuclear,429190110,0.32386695398925486
316,2018,NY,Total Electric Power Industry,Other Gases,0,0.0
317,2018,NY,Total Electric Power Industry,Other,8731450,0.006588754143028783
318,2018,NY,Total Electric Power Industry,Petroleum,15907100,0.012003501254496465
319,2018,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,2974720,0.002244724384191696
320,2018,NY,Total Electric Power Industry,Other Biomass,16159670,0.012194090633569217
321,2018,NY,Total Electric Power Industry,Wind,39983330,0.030171429852955355
322,2018,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5257680,0.003967446516067729
323,2019,NY,Total Electric Power Industry,Total,1316032890,1.0
324,2019,NY,Total Electric Power Industry,Coal,4219510,0.003206234458167683
325,2019,NY,Total Electric Power Industry,Pumped Storage,-3155890,-0.0023980327725699924
326,2019,NY,Total Electric Power Industry,Hydroelectric Conventional,306208950,0.23267575782243557
327,2019,NY,Total Electric Power Industry,Natural Gas,476121340,0.3617852894238836
328,2019,NY,Total Electric Power Industry,Nuclear,448650180,0.3409110694794262
329,2019,NY,Total Electric Power Industry,Other Gases,16800,1.276563840285177e-05
330,2019,NY,Total Electric Power Industry,Other,9597270,0.007292576099674834
331,2019,NY,Total Electric Power Industry,Petroleum,5117680,0.0038887174012801457
332,2019,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,5236400,0.003978927912660298
333,2019,NY,Total Electric Power Industry,Other Biomass,14737510,0.011198435929667381
