city_id,ID,Station Name,City,ZIP,County,latitude,longitude,population_density,median_home_value,occupied_housing_units,median_household_income
2255,154881,Ferguson Enterprises,Coxsackie,12051,Greene County,42.3501,-73.8199,332.0,182100.0,1826.0,49408.0
2256,115181,The Peninsula Hotel New York - Tesla Destination,New York,10019,New York County,40.7651,-73.9858,63042.0,808600.0,25905.0,84424.0
2257,114962,Courtyard by Marriott Kingston - Tesla Destination,Kingston,12401,Ulster County,41.9697,-74.0668,600.0,189700.0,14957.0,47225.0
2258,122592,INDUSTRY CITY LOT B WEST,Brooklyn,11232,Kings County,40.6521,-74.0018,22028.0,582900.0,8403.0,43595.0
2259,235442,LKT WEST 5,Kingston,12401,Ulster County,41.9697,-74.0668,600.0,189700.0,14957.0,47225.0
2260,162398,RIT EV CHARGING D LOT SOUTH STA,Rochester,14623,Monroe County,43.0834,-77.6344,1424.0,115600.0,9544.0,46149.0
2261,115097,Icon Parking E 48th Street - Tesla Destination,New York,10017,New York County,40.7517,-73.9707,51775.0,637100.0,10763.0,100652.0
2262,183459,SRYMCASSB BATTENKILL 1.2,Greenwich,12834,Washington County,43.0947,-73.503,76.0,179500.0,2634.0,60913.0
2263,145539,ROCHESTER NY SISTERS CITY 2,Rochester,14614,Monroe County,43.1558,-77.6142,,,,
2264,181845,854ELLICOTT 134 HIGH ST 1,Buffalo,14203,Erie County,42.8939,-78.8681,,,,
2265,229081,Altamont Free Library,Altamont,12009,Albany County,42.7063,-74.0193,137.0,253900.0,2854.0,80750.0
2266,211923,Ide Volkswagen of East Rochester,Rochester,14625,Monroe County,43.1522,-77.5057,1359.0,167000.0,4522.0,70114.0
2267,162353,TIOGA HOTEL CASINO 1,Nichols,13812,Tioga County,42.0301,-76.354,74.0,97800.0,918.0,50547.0
2268,162315,ITHACA VISITORS ITHACA COLLEGE,Ithaca,14850,Tompkins County,42.4406,-76.4966,507.0,209800.0,24786.0,46331.0
2269,115056,Parkit 221 Thompson Street - Tesla Destination,New York,10012,New York County,40.7255,-73.9983,74517.0,1000001.0,13338.0,86594.0
2270,202954,COMMCTR 59 N. PUTT 1,New Paltz,12561,Ulster County,41.7464,-74.1092,308.0,298100.0,6132.0,66261.0
2271,200956,Roosevelt Field - Tesla Supercharger,Garden City,11530,Nassau County,40.7245,-73.6487,3841.0,704200.0,9111.0,135370.0
2272,61065,ROCHESTER NY COURT ST 2,Rochester,14604,Monroe County,43.1577,-77.608,,,,
2273,196297,ESSEX FARMS EVSE1,Essex,12936,Essex County,44.2807,-73.3731,19.0,163700.0,276.0,57639.0
2274,188108,CITY AMSTERDAM P&RB EV 4,Amsterdam,12010,Montgomery County,42.9387,-74.1882,221.0,110500.0,12069.0,44256.0
2275,193242,5 FARRELL ROAD TOWN HALL EVSE1,Willsboro,12996,Essex County,44.3604,-73.3963,41.0,112000.0,895.0,43198.0
2276,164115,ADAMS STATION CLUBHOUSE,Delmar,12054,Albany County,42.6158,-73.8373,1095.0,274600.0,6866.0,94874.0
2277,182228,SUNY BUFFALO PARKER 1,Buffalo,14214,Erie County,42.9414,-78.8374,6922.0,117900.0,8013.0,38698.0
2278,181426,SUNY ADIRONDACK SUNY ACC 1.4,Queensbury,12804,Warren County,43.329,-73.6818,500.0,208400.0,10930.0,60152.0
2279,230960,6 Depot St,Washingtonville,10992,Orange County,41.4237,-74.1601,867.0,308200.0,3339.0,91083.0
2280,114928,Storm King Tavern and Golf Club - Tesla Destination,Cornwall,12518,Orange County,41.4162,-74.0395,594.0,300600.0,2278.0,80692.0
2281,184949,NYC FLEET DPROCBRZAC_1_L3,South Beach,10305,Richmond County,40.5973,-74.0768,9819.0,415300.0,15145.0,70758.0
2282,157944,Town of Webster,Webster,14580,Monroe County,43.2196,-77.4616,1188.0,179100.0,20116.0,69189.0
2283,115065,iPark 245 East 63rd Street - Tesla Destination,New York,10025,New York County,40.7975,-73.9683,125860.0,934600.0,44432.0,68516.0
2284,115172,Champion Parking 60 E 8th - Tesla Destination,New York,10003,New York County,40.7313,-73.9892,97188.0,817700.0,28559.0,92540.0
2285,175630,TOWN GLENVILLE IM PARK EV3,Glenville,12302,Schenectady County,42.88,-73.9913,652.0,183800.0,11439.0,66021.0
2286,202630,Associate's Lot,Buffalo,14214,Erie County,42.9414,-78.8374,6922.0,117900.0,8013.0,38698.0
2287,173506,WCS NS1 ASIA,Bronx,10460,Bronx County,40.8409,-73.8794,43567.0,391700.0,19512.0,22307.0
2288,223266,210 W 76th St.,New York,10023,New York County,40.7764,-73.9827,124357.0,872500.0,34383.0,103534.0
2289,216369,Starbucks - Tesla Supercharger,Manorville,11949,Suffolk County,40.8421,-72.8002,422.0,420700.0,5093.0,104785.0
2290,150742,Crowne Plaza Lake Placid - Tesla Destination,Lake Placid,12946,Essex County,44.2796,-73.982,42.0,248100.0,2409.0,47091.0
2291,220702,T.J. Maxx,Staten Island,10306,Richmond County,40.5682,-74.1184,7481.0,450200.0,20856.0,75807.0
2292,223089,Rapid Park - 205 W 101 st,New York,10025,New York County,40.7975,-73.9683,125860.0,934600.0,44432.0,68516.0
2293,227066,Keybank,Endicott,13760,Broome County,42.1506,-76.0551,900.0,119000.0,19290.0,50420.0
2294,143287,TOM TOWN CENTER,Mamaroneck,10543,Westchester County,40.9525,-73.735,4928.0,598000.0,7436.0,87316.0
2295,180107,RXR REALTY 58 SSR,Melville,11747,Suffolk County,40.7946,-73.403,1505.0,619300.0,7221.0,112699.0
2296,233243,COLE GROUP ENGLISH 2,Moreau,12831,Saratoga County,43.1803,-73.7053,259.0,230300.0,6339.0,71393.0
2297,190225,Ontario Travel Plaza,Le Roy,14482,Genesee County,42.9774,-77.9851,141.0,112800.0,3376.0,55470.0
2298,114951,Grape Hollow Farm - Tesla Destination,Holmes,12531,Dutchess County,41.5325,-73.6628,206.0,329100.0,1213.0,90208.0
2299,162167,ERIE COUNTY CHESTNUT RIDGE,Orchard Park,14127,Erie County,42.7639,-78.7518,728.0,194500.0,11816.0,77636.0
2300,174330,BURNS MGT THE SPRINGS #2,Saratoga Springs,12866,Saratoga County,43.0708,-73.7408,551.0,274400.0,15618.0,67979.0
2301,180882,BEVERWYCK STATION 1,Slingerlands,12159,Albany County,42.6485,-73.8711,560.0,326400.0,3306.0,87794.0
2302,162293,STRAND THEATRE THE STRAND,Old Forge,13420,Herkimer County,43.7435,-74.8935,6.0,403400.0,613.0,60438.0
2303,229268,CORNELL STATION2,Ithaca,14850,Tompkins County,42.4406,-76.4966,507.0,209800.0,24786.0,46331.0
2304,230828,EV Connect PO 1322 - Apex Solar-South Hill Campus,Queensbury,12804,Warren County,43.329,-73.6818,500.0,208400.0,10930.0,60152.0
2305,164442,Manhattan Plaza,New York,10036,New York County,40.7597,-73.9918,55745.0,810300.0,15183.0,66599.0
2306,115243,AAA Troy - Tesla Destination,Troy,12180,Rensselaer County,42.7287,-73.6683,977.0,171900.0,21558.0,47640.0
2307,213916,Eventi Hotel,New York,10001,New York County,40.7484,-73.9967,33959.0,650200.0,11031.0,81671.0
2308,162296,CITY OF ITHACA DRYDEN,Ithaca,14850,Tompkins County,42.4406,-76.4966,507.0,209800.0,24786.0,46331.0
2309,204669,GHMC PARKINGGARAGE9,Middletown,10940,Orange County,41.4512,-74.4701,746.0,225800.0,17345.0,61146.0
2310,115139,Quik Park 86th St. LLC - Tesla Destination,New York,10028,New York County,40.7763,-73.9529,143683.0,1000001.0,25158.0,104638.0
2311,150531,East West Tower Garage - Tesla Destination,Flushing,11354,Queens County,40.7667,-73.8241,25324.0,380600.0,20120.0,46566.0
2312,223240,301 E. 79th St.,New York,10075,New York County,40.7143,-74.006,141546.0,805300.0,14622.0,102941.0
2313,190872,2500 POND VIEW STATION 3,Castleton-on-Hudson,12033,Rensselaer County,42.5376,-73.7071,291.0,214900.0,3096.0,68382.0
2314,167140,SUNY ADIRONDACK SUNY ACC 1.1,Queensbury,12804,Warren County,43.329,-73.6818,500.0,208400.0,10930.0,60152.0
