City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Comblain-Au-Pont,50.4749,5.5771,57.63,85,38,4.61,BE,2022-08-08 02:11:31
159,Faanui,-16.4833,-151.75,76.39,70,79,25.19,PF,2022-08-08 02:11:32
160,Egvekinot,66.3167,-179.1667,41.72,41,100,12.53,RU,2022-08-08 02:11:32
161,Popondetta,-8.7537,148.2534,89.42,51,65,6.08,PG,2022-08-08 02:11:32
162,Samarai,-10.6167,150.6667,81.27,71,47,11.72,PG,2022-08-08 02:11:33
163,Mar Del Plata,-38.0023,-57.5575,46.09,83,100,9.22,AR,2022-08-08 02:11:33
164,Petropavlovka,50.6114,105.3196,63.54,54,16,1.14,RU,2022-08-08 02:11:33
165,Cap Malheureux,-19.9842,57.6142,66.47,78,1,1.99,MU,2022-08-08 02:11:34
166,Cabo San Lucas,22.8909,-109.9124,86.05,75,75,5.75,MX,2022-08-08 02:08:34
167,Kavieng,-2.5744,150.7967,83.89,72,23,12.06,PG,2022-08-08 02:11:34
168,Nome,64.5011,-165.4064,50.07,87,100,8.05,US,2022-08-08 02:11:34
169,Surin,14.8818,103.4936,74.68,93,100,7.9,TH,2022-08-08 02:11:35
170,Zhezkazgan,47.8043,67.7144,64.38,59,0,13.42,KZ,2022-08-08 02:11:35
171,Cachoeira Do Sul,-30.0392,-52.8939,54.46,92,100,8.57,BR,2022-08-08 02:11:35
172,Saint-Philippe,-21.3585,55.7679,65.79,79,0,3.65,RE,2022-08-08 02:11:36
173,Redcar,54.6166,-1.06,59.45,60,17,3.0,GB,2022-08-08 02:11:36
174,Tocopilla,-22.092,-70.1979,59.47,67,6,2.28,CL,2022-08-08 02:11:36
175,Luba,3.4568,8.5547,76.44,89,85,8.01,GQ,2022-08-08 02:11:37
176,Redmond,47.674,-122.1215,89.67,48,0,1.99,US,2022-08-08 02:09:58
177,Saint-Augustin,51.226,-58.6502,60.73,60,14,18.66,CA,2022-08-08 02:11:37
178,Manado,1.487,124.8455,84.97,74,20,3.44,ID,2022-08-08 02:11:37
179,Provideniya,64.3833,-173.3,41.11,60,100,20.13,RU,2022-08-08 02:11:38
180,North Bend,43.4065,-124.2243,69.24,91,100,9.22,US,2022-08-08 02:11:38
181,Moscow,55.7522,37.6156,66.24,73,98,5.64,RU,2022-08-08 02:10:45
182,Betioky,-23.7167,44.3833,60.82,88,0,8.03,MG,2022-08-08 02:11:38
183,Leningradskiy,69.3833,178.4167,32.86,94,100,20.58,RU,2022-08-08 02:11:39
184,Oristano,39.9,8.6,73.96,76,0,3.89,IT,2022-08-08 02:12:39
185,East London,-33.0153,27.9116,65.14,92,70,6.17,ZA,2022-08-08 02:12:11
186,Cassilandia,-19.1133,-51.7342,76.86,35,79,2.13,BR,2022-08-08 02:12:39
187,Ponta Delgada,37.7333,-25.6667,70.52,94,20,4.61,PT,2022-08-08 02:12:40
188,Hofn,64.2539,-15.2082,52.03,81,22,11.88,IS,2022-08-08 02:12:40
189,Chastyye,57.2888,54.9728,68.0,71,16,2.73,RU,2022-08-08 02:12:40
190,Chelmza,53.1846,18.6047,55.27,62,98,2.8,PL,2022-08-08 02:12:41
191,Aitape,-3.1374,142.3475,83.82,75,51,7.99,PG,2022-08-08 02:12:41
192,Moche,-8.1711,-79.0092,59.18,88,40,10.36,PE,2022-08-08 02:12:41
